x,y,scale,laplacian
417.1327968,189.9045911,2.068399918,0
648.5323637,189.2530857,1.625515163,1
897.6156416,189.7036116,1.935581057,0
734.279235,192.3411089,1.962252184,0
811.3803722,192.6561957,1.997819609,0
434.2823588,195.5741769,2.081186179,1
734.3004144,195.2407228,2.069032472,0
520.8364329,198.9808565,2.172568286,0
882.4548238,198.1489174,1.683546353,1
809.9920168,201.5492962,2.260727724,0
589.6124913,204.3265663,2.044094526,0
192.0725963,206.0934186,1.766251624,1
867.5257714,206.121496,2.095428106,1
213.9462639,208.7736953,2.363902098,1
265.4015571,207.5381109,1.744478849,0
654.4071749,207.3819056,2.002900019,1
15.43365371,209.9747344,1.916780272,1
27.09425562,209.967517,2.30407763,1
55.42460939,209.4517437,2.191322066,1
66.61892537,209.7776164,2.036078161,1
117.6996544,209.223917,2.149363932,1
130.5887493,209.3541235,2.079545499,1
167.7766004,209.3172817,2.124969918,1
239.5993241,210.9098217,1.852986615,1
875.6431649,210.8186635,1.830699838,0
221.7521012,212.5749385,2.222987242,0
248.0941593,211.9615123,1.731164314,0
302.1713023,212.0576036,2.051211222,0
524.271651,211.6852585,2.356165884,0
631.5973087,211.5130319,2.075895727,1
746.6691711,212.1260393,1.96501566,0
827.806882,212.1569393,2.147152115,1
50.77117221,214.3658899,1.692383894,0
160.5874939,214.3939794,2.02241698,0
736.1274243,214.0308584,2.026220138,0
845.4965793,215.7655764,1.973530175,0
185.025402,218.2448394,2.022216615,1
273.3584624,217.6887592,1.884937689,0
784.792192,217.9172435,2.01663678,1
260.3127172,219.7736434,1.911306589,0
263.4294029,219.5163901,1.804129503,0
766.0747884,219.8960867,1.981149255,1
199.3686375,221.8780545,1.991856763,1
735.7192875,221.4139818,1.831878322,0
778.9438906,223.1639039,1.919898255,0
853.554815,224.201443,1.691235931,0
22.1901961,226.0094413,2.377188402,1
761.1187094,225.393108,1.791259138,0
237.8695573,228.5725043,2.047704981,1
649.8735658,227.6327192,2.149039319,0
44.2161311,230.1743597,1.812700028,0
617.6449131,230.0572019,1.889845488,0
786.028113,230.6137114,2.157054956,1
433.9729423,232.2454251,2.266839315,0
572.3703295,231.2850768,1.796396141,1
717.5572929,232.0895607,1.969490702,0
830.1715265,231.6108073,2.049080459,1
849.2260133,232.3872008,2.002987632,1
168.7805736,234.718828,2.148809584,1
656.6905854,234.0716472,2.18474419,1
886.5375781,234.3433931,1.988135874,1
33.06035987,235.9252391,2.007732122,1
688.1216414,235.1271779,1.71671015,0
806.1925556,236.0761897,1.762652999,0
853.9362677,236.5432247,2.088735873,0
453.491361,238.0058082,2.109064854,1
823.669877,237.4142933,2.030482174,0
592.2911974,239.2067496,1.855761571,0
662.0003648,239.4120204,1.923506028,0
777.6720208,240.574467,1.886727261,0
860.2956561,240.126251,2.084293888,1
627.1599001,242.5640428,2.168409904,0
691.7462025,241.897792,2.197552553,1
762.2363963,242.6479741,1.908025384,0
243.6295659,244.3064928,1.986619659,0
673.7297491,243.4029387,2.081853858,1
391.7063107,245.8729413,2.174246172,1
738.1024672,245.3611364,1.875543677,0
879.5909087,245.7299552,1.968147224,0
935.5887546,246.3236966,1.959152983,1
475.3829044,248.514925,2.03735339,0
749.7459678,248.1204314,2.284065242,0
864.0139165,248.1491168,2.038772512,0
345.7151472,249.5311488,2.005803942,1
